processing_order,source_message_id,segment_id,segment_name,market_group,created_at,updated_at,edited_at,raw_text,normalized_text,normalized_text_hash,record_type,action_label,action_scope,symbol_group,symbol_raw,symbol,symbols_json,contract_month,strike_price,option_type,direction,quantity_percent,quantity_basis,remaining_holding_multiplier,quantity_rule_source,quantity_is_default,execution_prices_json,execution_price_primary,stop_loss,targets_json,target_1,target_2,is_correction,is_multi_instrument,requires_context,auto_apply_eligible,label_confidence,needs_review,label_status,label_source,label_reason,percentage_semantics,exact_duplicate_count,exact_duplicate_rank,is_exact_duplicate,production_status
1,69364f1fbfb5c7abb83c86ee,69325b20d7219646b3c27c20,NSE,INDIA_EQUITY,2025-12-08T04:07:59.649Z,2025-12-08T04:07:59.649Z,,50% PROFIT BOOK IN JSWSTEEL @1171.50,50% PROFIT BOOK IN JSWSTEEL @1171.50,e0bbbc89e1e3961f,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,JSWSTEEL,JSWSTEEL,"[""JSWSTEEL""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[1171.5],1171.5,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
2,69364fc7bfb5c7abb83c873a,69325b5fd7219646b3c27c47,MCX,INDIA_COMMODITY,2025-12-08T04:10:47.047Z,2025-12-08T04:10:47.047Z,,50% PROFIT BOOK IN CRUDE @5403,50% PROFIT BOOK IN CRUDE @5403,34c315356ba49b08,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,CRUDE,CRUDE,"[""CRUDE""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[5403.0],5403.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,3,1,True,READY_FOR_AUTO_APPLY
3,69368a880133ba0de6bcf3c7,69325b20d7219646b3c27c20,NSE,INDIA_EQUITY,2025-12-08T08:21:28.020Z,2025-12-08T08:21:28.020Z,,SL TOUCH IN JSWSTEEL,SL TOUCH IN JSWSTEEL,54f912d2ca078dae,TRADE_ACTION,CLOSE_POSITION,SINGLE_INSTRUMENT,,JSWSTEEL,JSWSTEEL,"[""JSWSTEEL""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[],,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Stop-loss hit closes current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,2,1,True,READY_FOR_AUTO_APPLY
4,69368a880133ba0de6bcf3cd,69325b20d7219646b3c27c20,NSE,INDIA_EQUITY,2025-12-08T08:21:28.272Z,2025-12-08T08:21:28.272Z,,SL TOUCH IN JSWSTEEL,SL TOUCH IN JSWSTEEL,54f912d2ca078dae,TRADE_ACTION,CLOSE_POSITION,SINGLE_INSTRUMENT,,JSWSTEEL,JSWSTEEL,"[""JSWSTEEL""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[],,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Stop-loss hit closes current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,2,2,True,READY_FOR_AUTO_APPLY
5,693690090133ba0de6bcf8cd,69325b5fd7219646b3c27c47,MCX,INDIA_COMMODITY,2025-12-08T08:44:57.579Z,2025-12-08T08:44:57.579Z,,50% PROFIT BOOK IN CRUDE @5403,50% PROFIT BOOK IN CRUDE @5403,34c315356ba49b08,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,CRUDE,CRUDE,"[""CRUDE""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[5403.0],5403.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,3,2,True,READY_FOR_AUTO_APPLY
6,693690090133ba0de6bcf8d3,69325b5fd7219646b3c27c47,MCX,INDIA_COMMODITY,2025-12-08T08:44:57.823Z,2025-12-08T08:44:57.823Z,,50% PROFIT BOOK IN CRUDE @5403,50% PROFIT BOOK IN CRUDE @5403,34c315356ba49b08,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,CRUDE,CRUDE,"[""CRUDE""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[5403.0],5403.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,3,3,True,READY_FOR_AUTO_APPLY
7,6937ad850133ba0de6bd09ce,69325b20d7219646b3c27c20,NSE,INDIA_EQUITY,2025-12-09T05:03:01.822Z,2025-12-09T05:03:01.822Z,,50% SELL NIFTY @25942 SL 26200 TGT 25800,50% SELL NIFTY @25942 SL 26200 TGT 25800,35318fcf194c1851,TRADE_ACTION,OPEN_SHORT,SINGLE_INSTRUMENT,,NIFTY,NIFTY,"[""NIFTY""]",,,,SHORT,50.0,MODEL_ALLOCATION,,EXPLICIT_PERCENT,False,[25942.0],25942.0,26200.0,[25800.0],25800.0,,False,False,False,True,0.97,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Sell with stop/target opens a short allocation.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,2,1,True,READY_FOR_AUTO_APPLY
8,6937ad850133ba0de6bd09d4,69325b20d7219646b3c27c20,NSE,INDIA_EQUITY,2025-12-09T05:03:01.984Z,2025-12-09T05:03:01.984Z,,50% SELL NIFTY @25942 SL 26200 TGT 25800,50% SELL NIFTY @25942 SL 26200 TGT 25800,35318fcf194c1851,TRADE_ACTION,OPEN_SHORT,SINGLE_INSTRUMENT,,NIFTY,NIFTY,"[""NIFTY""]",,,,SHORT,50.0,MODEL_ALLOCATION,,EXPLICIT_PERCENT,False,[25942.0],25942.0,26200.0,[25800.0],25800.0,,False,False,False,True,0.97,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Sell with stop/target opens a short allocation.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,2,2,True,READY_FOR_AUTO_APPLY
9,6a0ee0ca835de84db369411c,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-21T10:39:06.515Z,2026-05-21T10:39:06.515Z,,50% PROFIT BOOK IN NIFTY,50% PROFIT BOOK IN NIFTY,c491c5130234989d,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,NIFTY,NIFTY,"[""NIFTY""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[],,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
10,6a0ee139835de84db369423d,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-21T10:40:57.746Z,2026-05-21T10:40:57.746Z,,50% PROFIT BOOK IN BANKNIFTY,50% PROFIT BOOK IN BANKNIFTY,7e219391ae70323d,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,BANKNIFTY,BANKNIFTY,"[""BANKNIFTY""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[],,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
