processing_order,source_message_id,segment_id,segment_name,market_group,created_at,updated_at,edited_at,raw_text,normalized_text,normalized_text_hash,record_type,action_label,action_scope,symbol_group,symbol_raw,symbol,symbols_json,contract_month,strike_price,option_type,direction,quantity_percent,quantity_basis,remaining_holding_multiplier,quantity_rule_source,quantity_is_default,execution_prices_json,execution_price_primary,stop_loss,targets_json,target_1,target_2,is_correction,is_multi_instrument,requires_context,auto_apply_eligible,label_confidence,needs_review,label_status,label_source,label_reason,percentage_semantics,exact_duplicate_count,exact_duplicate_rank,is_exact_duplicate,production_status
11,6a139ce1835de84db3696c33,6a0d8832835de84db3693580,International Market,GLOBAL_COMMODITY,2026-05-25T00:50:41.756Z,2026-05-25T00:50:41.756Z,,Sell 50% gold Jun at above price.,Sell 50% gold Jun at above price.,4e099864e5ac4a18,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,gold Jun,GOLD,"[""GOLD""]",JUN,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[],,,[],,,False,False,True,False,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
78,6a15b9b7dfef2e015044c620,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-05-26T15:18:15.212Z,2026-05-26T15:18:15.212Z,,2nd tgt touch in SNDK,2nd tgt touch in SNDK,0aa21f37c1a62413,TRADE_UPDATE,TARGET_HIT,SINGLE_INSTRUMENT,,SNDK,SNDK,"[""SNDK""]",,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,False,False,False,0.96,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Target status update; no automatic quantity change.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,STATUS_ONLY
107,6a169056dfef2e015044d8ec,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-05-27T06:33:58.363Z,2026-05-27T06:33:58.363Z,,CORRECTION : 50% BUY GOLD @156950 SL 156500 TGT 158500-159200,CORRECTION : 50% BUY GOLD @156950 SL 156500 TGT 158500-159200,fe702ed10c94634f,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,GOLD,GOLD,"[""GOLD""]",,,,LONG,50.0,MODEL_ALLOCATION,,EXPLICIT_PERCENT,False,[156950.0],156950.0,156500.0,"[158500.0, 159200.0]",158500.0,159200.0,True,False,True,False,0.85,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Buy instruction. Correction must supersede/link to the prior instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
168,6a18660a59359ea1faee9538,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-05-28T15:58:02.293Z,2026-05-28T15:58:02.293Z,,Ignore NG message,Ignore NG message,0b678591bf7a4b91,TRADE_CONTROL,CANCEL_PREVIOUS,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,False,True,False,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit ignore/cancel instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
222,6a1ce78359359ea1faeebb1c,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-01T01:59:31.678Z,2026-06-01T01:59:31.678Z,,If the stoploss gets triggered in short positions of indices then make long position with support levels mentioned in the daily newsletter.,If the stoploss gets triggered in short positions of indices then make long position with support levels mentioned in the daily newsletter.,4fbcce6bc6325d4e,TRADE_CONTROL,CONDITIONAL_INSTRUCTION,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,False,True,False,0.88,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Conditional instruction requiring external state.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
376,6a2034cd59359ea1faef204b,6a0d8832835de84db3693580,International Market,GLOBAL_INDEX_OR_MACRO,2026-06-03T14:06:05.090Z,2026-06-03T14:06:05.090Z,,Second level triggered to buy Russell :,Second level triggered to buy Russell :,7278b79d9203c821,TRADE_ACTION,ADD_LONG,SINGLE_INSTRUMENT,,Russell,RUSSELL,"[""RUSSELL""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[],,,[],,,False,False,True,False,0.8,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Context-dependent staged entry. Entry price is absent or context-dependent.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
387,6a20c55259359ea1faef2737,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-04T00:22:42.267Z,2026-06-04T00:22:42.267Z,,Add long position in Nasdaq @ 30300 (when triggered) with S/L 30100 for target 30600-30700.,Add long position in Nasdaq @ 30300 (when triggered) with S/L 30100 for target 30600-30700.,31c3dd90cfc7d95f,TRADE_CONTROL,CONDITIONAL_INSTRUCTION,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[30300.0],30300.0,30100.0,"[30600.0, 30700.0]",30600.0,30700.0,False,False,True,False,0.88,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Conditional instruction requiring external state.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
423,6a2180a9109e0591bbf6d888,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-06-04T13:42:01.965Z,2026-06-04T13:42:01.965Z,,Ignore last msg,Ignore last msg,1aff700f4d9d5eb9,TRADE_CONTROL,CANCEL_PREVIOUS,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,False,True,False,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit ignore/cancel instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
494,6a231f85109e0591bbf70ee2,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-05T19:12:05.308Z,2026-06-05T19:12:05.308Z,,The stop loss has been triggered in indices. People who have quit their positions may reenter into 30% long positions at the US closing.,The stop loss has been triggered in indices. People who have quit their positions may reenter into 30% long positions at the US closing.,c4390d1636e87514,TRADE_UPDATE,MARKET_COMMENTARY,NONE,,,,[],MAY,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,False,False,False,0.75,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,General long recommendation/commentary.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
495,6a26109f109e0591bbf71759,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-08T00:45:19.535Z,2026-06-08T00:45:19.535Z,,Continue holding long positions in indices until Tuesday.,Continue holding long positions in indices until Tuesday.,0b055c69a2a97ea5,TRADE_UPDATE,MARKET_COMMENTARY,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,False,False,False,0.75,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,General long recommendation/commentary.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
511,6a265533109e0591bbf724ef,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-06-08T05:37:55.275Z,2026-06-08T05:37:55.275Z,,INTRADAY SL TOUCH IN GOLD & SILVER,INTRADAY SL TOUCH IN GOLD & SILVER,756f8eaee6b5d4ad,TRADE_ACTION,CLOSE_POSITION,MULTI_INSTRUMENT,,GOLD & SILVER,,"[""GOLD"", ""SILVER""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[],,,[],,,False,True,True,False,0.7,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Stop-loss hit closes current holding. Multiple instruments must be split into separate events.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
512,6a265605109e0591bbf72569,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-08T05:41:25.394Z,2026-06-08T05:41:25.394Z,,Positional SL for gold aug: 4278 & silver july: 65.70,Positional SL for gold aug: 4278 & silver july: 65.70,180b38f11e42c209,TRADE_UPDATE,UPDATE_STOP_LOSS,MULTI_INSTRUMENT,,gold aug,,"[""GOLD"", ""SILVER""]",AUG,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,True,True,False,0.7,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Standalone stop-loss update. Multiple instruments must be split into separate events.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
