pilot_id,dataset_split,source_message_id,raw_text,normalized_text,segment_name,market_group,record_type,action_label,action_scope,symbol_group,symbol,symbols_json,contract_month,strike_price,option_type,direction,quantity_percent,quantity_basis,remaining_holding_multiplier,quantity_rule_source,execution_prices_json,execution_price_primary,stop_loss,targets_json,target_1,target_2,is_correction,is_multi_instrument,requires_context,auto_apply_eligible,label_confidence,needs_review,label_status,label_source,normalized_text_hash,created_at
PILOT-084,train,6a269223109e0591bbf72f00,AGAIN  BUY NIFTY @23145 SL 23000 TGT 23350-23450,AGAIN BUY NIFTY @23145 SL 23000 TGT 23350-23450,Indian Indices,INDIA_INDEX,TRADE_ACTION,ADD_LONG,SINGLE_INSTRUMENT,,NIFTY,"[""NIFTY""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,[23145.0],23145.0,23000.0,"[23350.0, 23450.0]",23350.0,23450.0,False,False,False,True,0.97,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,bce9cb1e505921c5,2026-06-08T09:57:55.334Z
PILOT-283,train,6a16b87bdfef2e015044e14a,AGAIN BUY CRUDE MINI @8629 SL 8500 TGT 8900-9100,AGAIN BUY CRUDE MINI @8629 SL 8500 TGT 8900-9100,MCX,INDIA_COMMODITY,TRADE_ACTION,ADD_LONG,SINGLE_INSTRUMENT,,CRUDE_MINI,"[""CRUDE_MINI""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,[8629.0],8629.0,8500.0,"[8900.0, 9100.0]",8900.0,9100.0,False,False,False,True,0.97,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,80c77e5d0ebd520d,2026-05-27T09:25:15.702Z
PILOT-168,train,6a2a0954109e0591bbf7a0d5,Add short position in crude oil at 93.50 with S/L 96.00 for target 85.00-82.00,Add short position in crude oil at 93.50 with S/L 96.00 for target 85.00-82.00,International Market,GLOBAL_COMMODITY,TRADE_ACTION,ADD_SHORT,SINGLE_INSTRUMENT,,CRUDE,"[""CRUDE""]",,,,SHORT,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,[93.5],93.5,96.0,"[85.0, 82.0]",85.0,82.0,False,False,False,True,0.97,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,056b056287927240,2026-06-11T01:03:16.160Z
PILOT-249,train,6a2a79af109e0591bbf7b652,Kindly update RP Broadcast app so that newsletter can be accessed through the app.,Kindly update RP Broadcast app so that newsletter can be accessed through the app.,Indian Indices,INDIA_INDEX,NON_TRADE,ADMIN_NOTICE,NONE,,,[],,,,,,NONE,,NOT_APPLICABLE,[],,,[],,,False,False,False,False,0.99,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,4dc5ebdab6a17216,2026-06-11T09:02:39.765Z
PILOT-075,train,6a3dc51a56a63e397cfcf1c9,"Please update the ""RP Broadcasts"" app from the App Store or Play Store. Key issues have been fixed.","Please update the ""RP Broadcasts"" app from the App Store or Play Store. Key issues have been fixed.",International Market,GLOBAL_EQUITY,NON_TRADE,ADMIN_NOTICE,NONE,,,[],,,,,,NONE,,NOT_APPLICABLE,[],,,[],,,False,False,False,False,0.99,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,61e6e6f423a19ad2,2026-06-26T00:17:30.356Z
PILOT-253,train,6a20fe4e59359ea1faef31a1,"Sun Sign: Reflects your core identity, ego, and life purpose","Sun Sign: Reflects your core identity, ego, and life purpose",Astrology Guide,ASTROLOGY,NON_TRADE,ASTROLOGY_CONTENT,NONE,,,[],,,,,,NONE,,NOT_APPLICABLE,[],,,[],,,False,False,False,False,0.99,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,5ed72241cbf95e84,2026-06-04T04:25:50.193Z
PILOT-176,train,6a20fe8259359ea1faef31c8,Planets: Celestial bodies that act as active energies in various life houses.,Planets: Celestial bodies that act as active energies in various life houses.,Astrology Guide,ASTROLOGY,NON_TRADE,ASTROLOGY_CONTENT,NONE,,,[],,,,,,NONE,,NOT_APPLICABLE,[],,,[],,,False,False,False,False,0.99,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,904871040beb712d,2026-06-04T04:26:42.672Z
PILOT-236,train,6a20fe7759359ea1faef31bb,"Houses: The 12 segments of your chart, each governing specific life areas.","Houses: The 12 segments of your chart, each governing specific life areas.",Astrology Guide,ASTROLOGY,NON_TRADE,ASTROLOGY_CONTENT,NONE,,,[],,,,,,NONE,,NOT_APPLICABLE,[],,,[],,,False,False,False,False,0.99,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,f3ee08abd69df0b8,2026-06-04T04:26:31.399Z
PILOT-038,train,6a20fe6959359ea1faef31ae,"Moon Sign: Represents your emotional nature, mind, and inner feelings","Moon Sign: Represents your emotional nature, mind, and inner feelings",Astrology Guide,ASTROLOGY,NON_TRADE,ASTROLOGY_CONTENT,NONE,,,[],,,,,,NONE,,NOT_APPLICABLE,[],,,[],,,False,False,False,False,0.99,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,8f772eff964f873c,2026-06-04T04:26:17.787Z
PILOT-095,train,6a2180a9109e0591bbf6d888,Ignore last msg,Ignore last msg,MCX,INDIA_COMMODITY,TRADE_CONTROL,CANCEL_PREVIOUS,NONE,,,[],,,,,,NONE,,NOT_APPLICABLE,[],,,[],,,False,False,True,False,0.98,False,CURATED_PILOT,ASSISTANT_CURATED_RULE_REVIEW,1aff700f4d9d5eb9,2026-06-04T13:42:01.965Z
