observed_alias,canonical_symbol,occurrence_count,normalization_status
AAPL,AAPL,5,OBSERVED_AND_MAPPED
ADANIENT,ADANIENT,7,OBSERVED_AND_MAPPED
ADANIPORTS,ADANIPORTS,7,OBSERVED_AND_MAPPED
ALUMINI,ALUMINIUM,4,OBSERVED_AND_MAPPED
ALUMINIUM,ALUMINIUM,1,OBSERVED_AND_MAPPED
AMAT,AMAT,8,OBSERVED_AND_MAPPED
AMBER,AMBER,5,OBSERVED_AND_MAPPED
AMD,AMD,23,OBSERVED_AND_MAPPED
AMSC,AMSC,1,OBSERVED_AND_MAPPED
APP,APP,1,OBSERVED_AND_MAPPED
ARM,ARM,2,OBSERVED_AND_MAPPED
ASHOKLEY,ASHOKLEY,4,OBSERVED_AND_MAPPED
ASIANPAINT,ASIANPAINT,3,OBSERVED_AND_MAPPED
ASML,ASML,5,OBSERVED_AND_MAPPED
AVGO,AVGO,10,OBSERVED_AND_MAPPED
AXISBANK,AXISBANK,6,OBSERVED_AND_MAPPED
BAJAJ AUTO,BAJAJAUTO,1,OBSERVED_AND_MAPPED
BAJAJAUTO,BAJAJAUTO,3,OBSERVED_AND_MAPPED
BAJFINANCE,BAJFINANCE,2,OBSERVED_AND_MAPPED
BANDHANBANK,BANDHANBANK,3,OBSERVED_AND_MAPPED
BANKBARODA,BANKBARODA,1,OBSERVED_AND_MAPPED
BANKINDIA,BANKINDIA,1,OBSERVED_AND_MAPPED
BANKNIFTY,BANKNIFTY,27,OBSERVED_AND_MAPPED
BANKNNIFTY,BANKNNIFTY,1,OBSERVED_AND_MAPPED
BE,BE,6,OBSERVED_AND_MAPPED
BEL,BEL,8,OBSERVED_AND_MAPPED
BHARATFORG,BHARATFORG,3,OBSERVED_AND_MAPPED
BHARTIARTL,BHARTIARTL,8,OBSERVED_AND_MAPPED
BSE,BSE,3,OBSERVED_AND_MAPPED
CBRE,CBRE,2,OBSERVED_AND_MAPPED
CHOLAFIN,CHOLAFIN,1,OBSERVED_AND_MAPPED
CIPLA,CIPLA,3,OBSERVED_AND_MAPPED
COALINDIA,COALINDIA,1,OBSERVED_AND_MAPPED
CONCOR,CONCOR,5,OBSERVED_AND_MAPPED
COPPER,COPPER,55,OBSERVED_AND_MAPPED
COPPER JULY,COPPER,2,OBSERVED_AND_MAPPED
COPPER JUN,COPPER,1,OBSERVED_AND_MAPPED
CRDO,CRDO,4,OBSERVED_AND_MAPPED
CRUDE,CRUDE,39,OBSERVED_AND_MAPPED
CRUDE AUG,CRUDE,4,OBSERVED_AND_MAPPED
CRUDE M,CRUDE_MINI,1,OBSERVED_AND_MAPPED
CRUDE MINI,CRUDE_MINI,19,OBSERVED_AND_MAPPED
CRUDE OIL,CRUDE,1,OBSERVED_AND_MAPPED
CRUDE OIL MINI,CRUDE_MINI,1,OBSERVED_AND_MAPPED
CRUDE. EXIT,CRUDE,1,OBSERVED_AND_MAPPED
CRUDEM,CRUDE_MINI,2,OBSERVED_AND_MAPPED
CRUDEMINI,CRUDE_MINI,3,OBSERVED_AND_MAPPED
CRUDEOIL MINI,CRUDE_MINI,1,OBSERVED_AND_MAPPED
CRUDEOILM,CRUDE_MINI,7,OBSERVED_AND_MAPPED
CRUDEOILMINI,CRUDE_MINI,2,OBSERVED_AND_MAPPED
CRWD,CRWD,2,OBSERVED_AND_MAPPED
CRWV,CRWV,1,OBSERVED_AND_MAPPED
DASH/USD,DASHUSD,2,OBSERVED_AND_MAPPED
DELL,DELL,10,OBSERVED_AND_MAPPED
DIACABS,DIACABS,1,OBSERVED_AND_MAPPED
DLF,DLF,6,OBSERVED_AND_MAPPED
DOLLAR INDEX,DOLLAR_INDEX,1,OBSERVED_AND_MAPPED
DOW,DOW,19,OBSERVED_AND_MAPPED
DRREDDY,DRREDDY,3,OBSERVED_AND_MAPPED
EICHERMOT,EICHERMOT,1,OBSERVED_AND_MAPPED
ETERNAL,ETERNAL,4,OBSERVED_AND_MAPPED
EUR/USD,EURUSD,1,OBSERVED_AND_MAPPED
