id,source_message_id,parsed_event_json,position_before_json,position_after_json,status,applied_at,approved_event_json,review_id
1,acceptance-001,"{
  ""source_message_id"": ""acceptance-001"",
  ""raw_text"": ""SELL 50% NIFTY"",
  ""normalized_text"": ""SELL 50% NIFTY"",
  ""record_type"": ""TRADE_ACTION"",
  ""ml_action"": ""OPEN_SHORT"",
  ""ml_confidence"": 0.6199510319346242,
  ""rule_action"": ""REDUCE_POSITION"",
  ""final_action"": ""REDUCE_POSITION"",
  ""resolution_source"": ""RULE"",
  ""symbol_raw"": ""NIFTY"",
  ""symbol"": ""NIFTY"",
  ""symbols"": [
    ""NIFTY""
  ],
  ""market_group"": ""Indices"",
  ""contract_month"": null,
  ""strike_price"": null,
  ""option_type"": null,
  ""direction"": ""SHORT"",
  ""quantity_percent"": ""50"",
  ""quantity_basis"": ""CURRENT_HOLDING"",
  ""remaining_holding_multiplier"": ""0.5"",
  ""execution_prices"": [],
  ""execution_price_primary"": null,
  ""stop_loss"": null,
  ""targets"": [],
  ""is_correction"": false,
  ""is_conditional"": false,
  ""is_multi_instrument"": false,
  ""requires_context"": false,
  ""parent_source_message_id"": null,
  ""child_event_index"": null,
  ""related_source_message_id"": null,
  ""supersedes_event_id"": null,
  ""cancels_event_id"": null,
  ""auto_apply_eligible"": true,
  ""needs_review"": false,
  ""validation_errors"": [],
  ""validation_warnings"": []
}","{""position_id"": 3, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""100"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 1}","{""position_id"": 3, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""50.0000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 2}",APPLIED,2026-07-01T04:53:08.244332+00:00,,
2,acceptance-002,"{
  ""source_message_id"": ""acceptance-002"",
  ""raw_text"": ""SELL 50% NIFTY"",
  ""normalized_text"": ""SELL 50% NIFTY"",
  ""record_type"": ""TRADE_ACTION"",
  ""ml_action"": ""OPEN_SHORT"",
  ""ml_confidence"": 0.6199510319346242,
  ""rule_action"": ""REDUCE_POSITION"",
  ""final_action"": ""REDUCE_POSITION"",
  ""resolution_source"": ""RULE"",
  ""symbol_raw"": ""NIFTY"",
  ""symbol"": ""NIFTY"",
  ""symbols"": [
    ""NIFTY""
  ],
  ""market_group"": ""Indices"",
  ""contract_month"": null,
  ""strike_price"": null,
  ""option_type"": null,
  ""direction"": ""SHORT"",
  ""quantity_percent"": ""50"",
  ""quantity_basis"": ""CURRENT_HOLDING"",
  ""remaining_holding_multiplier"": ""0.5"",
  ""execution_prices"": [],
  ""execution_price_primary"": null,
  ""stop_loss"": null,
  ""targets"": [],
  ""is_correction"": false,
  ""is_conditional"": false,
  ""is_multi_instrument"": false,
  ""requires_context"": false,
  ""parent_source_message_id"": null,
  ""child_event_index"": null,
  ""related_source_message_id"": null,
  ""supersedes_event_id"": null,
  ""cancels_event_id"": null,
  ""auto_apply_eligible"": true,
  ""needs_review"": false,
  ""validation_errors"": [],
  ""validation_warnings"": []
}","{""position_id"": 3, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""50.0000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 2}","{""position_id"": 3, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""25.0000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 3}",APPLIED,2026-07-01T04:53:08.274525+00:00,,
3,acceptance-reval-stale,"{
  ""source_message_id"": ""acceptance-reval-stale"",
  ""raw_text"": ""SELL 50% NIFTY"",
  ""normalized_text"": ""SELL 50% NIFTY"",
  ""record_type"": ""TRADE_ACTION"",
  ""ml_action"": ""OPEN_SHORT"",
  ""ml_confidence"": 0.6199510319346242,
  ""rule_action"": ""REDUCE_POSITION"",
  ""final_action"": ""REDUCE_POSITION"",
  ""resolution_source"": ""RULE"",
  ""symbol_raw"": ""NIFTY"",
  ""symbol"": ""NIFTY"",
  ""symbols"": [
    ""NIFTY""
  ],
  ""market_group"": ""Indices"",
  ""contract_month"": null,
  ""strike_price"": null,
  ""option_type"": null,
  ""direction"": ""SHORT"",
  ""quantity_percent"": ""50"",
  ""quantity_basis"": ""CURRENT_HOLDING"",
  ""remaining_holding_multiplier"": ""0.5"",
  ""execution_prices"": [],
  ""execution_price_primary"": null,
  ""stop_loss"": null,
  ""targets"": [],
  ""is_correction"": false,
  ""is_conditional"": false,
  ""is_multi_instrument"": false,
  ""requires_context"": false,
  ""parent_source_message_id"": null,
  ""child_event_index"": null,
  ""related_source_message_id"": null,
  ""supersedes_event_id"": null,
  ""cancels_event_id"": null,
  ""auto_apply_eligible"": true,
  ""needs_review"": false,
  ""validation_errors"": [],
  ""validation_warnings"": []
}","{""position_id"": 3, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""25.0000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 3}","{""position_id"": 3, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""12.5000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 4}",APPLIED,2026-07-01T04:53:08.301079+00:00,,
4,acceptance-reval-latest,"{
  ""source_message_id"": ""acceptance-reval-latest"",
  ""raw_text"": ""SELL 20% NIFTY"",
  ""normalized_text"": ""SELL 20% NIFTY"",
  ""record_type"": ""TRADE_ACTION"",
  ""ml_action"": ""OPEN_SHORT"",
  ""ml_confidence"": 0.5549620920050097,
  ""rule_action"": ""REDUCE_POSITION"",
  ""final_action"": ""REDUCE_POSITION"",
  ""resolution_source"": ""RULE"",
  ""symbol_raw"": ""NIFTY"",
  ""symbol"": ""NIFTY"",
  ""symbols"": [
    ""NIFTY""
  ],
  ""market_group"": ""Indices"",
  ""contract_month"": null,
  ""strike_price"": null,
  ""option_type"": null,
  ""direction"": ""SHORT"",
  ""quantity_percent"": ""20"",
  ""quantity_basis"": ""CURRENT_HOLDING"",
  ""remaining_holding_multiplier"": ""0.8"",
  ""execution_prices"": [],
  ""execution_price_primary"": null,
  ""stop_loss"": null,
  ""targets"": [],
  ""is_correction"": false,
  ""is_conditional"": false,
  ""is_multi_instrument"": false,
  ""requires_context"": false,
  ""parent_source_message_id"": null,
  ""child_event_index"": null,
  ""related_source_message_id"": null,
  ""supersedes_event_id"": null,
  ""cancels_event_id"": null,
  ""auto_apply_eligible"": true,
  ""needs_review"": false,
  ""validation_errors"": [],
  ""validation_warnings"": []
}","{""position_id"": 3, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""12.5000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 4}","{""position_id"": 3, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""10.0000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 5}",APPLIED,2026-07-01T04:53:08.315325+00:00,,
5,acceptance-003,"{
  ""source_message_id"": ""acceptance-003"",
  ""raw_text"": ""PART PROFIT BOOK IN NVDA"",
  ""normalized_text"": ""PART PROFIT BOOK IN NVDA"",
  ""record_type"": ""TRADE_ACTION"",
  ""ml_action"": ""REDUCE_POSITION"",
  ""ml_confidence"": 0.4871564316729287,
  ""rule_action"": ""REDUCE_POSITION"",
  ""final_action"": ""REDUCE_POSITION"",
  ""resolution_source"": ""RULE_AND_ML_AGREE"",
  ""symbol_raw"": ""NVDA"",
  ""symbol"": ""NVDA"",
  ""symbols"": [
    ""NVDA""
  ],
  ""market_group"": ""Equity"",
  ""contract_month"": null,
  ""strike_price"": null,
  ""option_type"": null,
  ""direction"": null,
  ""quantity_percent"": ""25"",
  ""quantity_basis"": ""CURRENT_HOLDING"",
  ""remaining_holding_multiplier"": ""0.75"",
  ""execution_prices"": [],
  ""execution_price_primary"": null,
  ""stop_loss"": null,
  ""targets"": [],
  ""is_correction"": false,
  ""is_conditional"": false,
  ""is_multi_instrument"": false,
  ""requires_context"": false,
  ""parent_source_message_id"": null,
  ""child_event_index"": null,
  ""related_source_message_id"": null,
  ""supersedes_event_id"": null,
  ""cancels_event_id"": null,
  ""auto_apply_eligible"": true,
  ""needs_review"": false,
  ""validation_errors"": [],
  ""validation_warnings"": []
}","{""position_id"": 4, ""symbol"": ""NVDA"", ""direction"": ""LONG"", ""current_allocation_pct"": ""75"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 1}","{""position_id"": 4, ""symbol"": ""NVDA"", ""direction"": ""LONG"", ""current_allocation_pct"": ""56.2500000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 2}",APPLIED,2026-07-01T04:53:08.346286+00:00,,
6,acceptance-004,"{
  ""source_message_id"": ""acceptance-004"",
  ""raw_text"": ""BUY 50% AMD @160"",
  ""normalized_text"": ""BUY 50% AMD @160"",
  ""record_type"": ""TRADE_ACTION"",
  ""ml_action"": ""OPEN_LONG"",
  ""ml_confidence"": 0.28405786771332026,
  ""rule_action"": ""OPEN_LONG"",
  ""final_action"": ""OPEN_LONG"",
  ""resolution_source"": ""RULE_AND_ML_AGREE"",
  ""symbol_raw"": ""AMD"",
  ""symbol"": ""AMD"",
  ""symbols"": [
    ""AMD""
  ],
  ""market_group"": ""Equity"",
  ""contract_month"": null,
  ""strike_price"": null,
  ""option_type"": null,
  ""direction"": ""LONG"",
  ""quantity_percent"": ""50"",
  ""quantity_basis"": ""MODEL_ALLOCATION"",
  ""remaining_holding_multiplier"": null,
  ""execution_prices"": [
    ""160""
  ],
  ""execution_price_primary"": ""160"",
  ""stop_loss"": null,
  ""targets"": [],
  ""is_correction"": false,
  ""is_conditional"": false,
  ""is_multi_instrument"": false,
  ""requires_context"": false,
  ""parent_source_message_id"": null,
  ""child_event_index"": null,
  ""related_source_message_id"": null,
  ""supersedes_event_id"": null,
  ""cancels_event_id"": null,
  ""auto_apply_eligible"": true,
  ""needs_review"": false,
  ""validation_errors"": [],
  ""validation_warnings"": []
}",null,"{""position_id"": 5, ""symbol"": ""AMD"", ""direction"": ""LONG"", ""current_allocation_pct"": ""50"", ""average_entry_price"": ""160"", ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 1}",APPLIED,2026-07-01T04:53:08.378245+00:00,,
1,import_1782881588_NIFTY_LONG,,,"{""id"": 1, ""portfolio_id"": ""verified"", ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""100"", ""status"": ""OPEN""}",,2026-07-01T04:53:08.175788+00:00,"{""source_message_id"": ""import_1782881588_NIFTY_LONG"", ""raw_text"": ""CSV Import"", ""record_type"": ""INITIAL_SETUP"", ""final_action"": ""INITIAL_SETUP"", ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""quantity_percent"": ""100""}",
2,import_1782881588_NVDA_LONG,,,"{""id"": 2, ""portfolio_id"": ""verified"", ""symbol"": ""NVDA"", ""direction"": ""LONG"", ""current_allocation_pct"": ""75"", ""status"": ""OPEN""}",,2026-07-01T04:53:08.175788+00:00,"{""source_message_id"": ""import_1782881588_NVDA_LONG"", ""raw_text"": ""CSV Import"", ""record_type"": ""INITIAL_SETUP"", ""final_action"": ""INITIAL_SETUP"", ""symbol"": ""NVDA"", ""direction"": ""LONG"", ""quantity_percent"": ""75""}",
3,acceptance-001,,"{""position_id"": 1, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""100"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 1}","{""position_id"": 1, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""50.0000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 2}",,2026-07-01T04:53:08.256086+00:00,"{
  ""source_message_id"": ""acceptance-001"",
  ""raw_text"": ""SELL 50% NIFTY"",
  ""normalized_text"": ""SELL 50% NIFTY"",
  ""record_type"": ""TRADE_ACTION"",
  ""ml_action"": ""OPEN_SHORT"",
  ""ml_confidence"": 0.6199510319346242,
  ""rule_action"": ""REDUCE_POSITION"",
  ""final_action"": ""REDUCE_POSITION"",
  ""resolution_source"": ""RULE"",
  ""symbol_raw"": ""NIFTY"",
  ""symbol"": ""NIFTY"",
  ""symbols"": [
    ""NIFTY""
  ],
  ""market_group"": ""Indices"",
  ""contract_month"": null,
  ""strike_price"": null,
  ""option_type"": null,
  ""direction"": ""SHORT"",
  ""quantity_percent"": ""50"",
  ""quantity_basis"": ""CURRENT_HOLDING"",
  ""remaining_holding_multiplier"": ""0.5"",
  ""execution_prices"": [],
  ""execution_price_primary"": null,
  ""stop_loss"": null,
  ""targets"": [],
  ""is_correction"": false,
  ""is_conditional"": false,
  ""is_multi_instrument"": false,
  ""requires_context"": false,
  ""parent_source_message_id"": null,
  ""child_event_index"": null,
  ""related_source_message_id"": null,
  ""supersedes_event_id"": null,
  ""cancels_event_id"": null,
  ""auto_apply_eligible"": true,
  ""needs_review"": false,
  ""validation_errors"": [],
  ""validation_warnings"": []
}",1
4,acceptance-002,,"{""position_id"": 1, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""50.0000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 2}","{""position_id"": 1, ""symbol"": ""NIFTY"", ""direction"": ""LONG"", ""current_allocation_pct"": ""25.0000000000"", ""average_entry_price"": null, ""stop_loss"": null, ""status"": ""OPEN"", ""version"": 3}",,2026-07-01T04:53:08.285856+00:00,"{
  ""source_message_id"": ""acceptance-002"",
  ""raw_text"": ""SELL 50% NIFTY"",
  ""normalized_text"": ""SELL 50% NIFTY"",
  ""record_type"": ""TRADE_ACTION"",
  ""ml_action"": ""OPEN_SHORT"",
  ""ml_confidence"": 0.6199510319346242,
  ""rule_action"": ""REDUCE_POSITION"",
  ""final_action"": ""REDUCE_POSITION"",
  ""resolution_source"": ""RULE"",
  ""symbol_raw"": ""NIFTY"",
  ""symbol"": ""NIFTY"",
  ""symbols"": [
    ""NIFTY""
  ],
  ""market_group"": ""Indices"",
  ""contract_month"": null,
  ""strike_price"": null,
  ""option_type"": null,
  ""direction"": ""SHORT"",
  ""quantity_percent"": ""50"",
  ""quantity_basis"": ""CURRENT_HOLDING"",
  ""remaining_holding_multiplier"": ""0.5"",
  ""execution_prices"": [],
  ""execution_price_primary"": null,
  ""stop_loss"": null,
  ""targets"": [],
  ""is_correction"": false,
  ""is_conditional"": false,
  ""is_multi_instrument"": false,
  ""requires_context"": false,
  ""parent_source_message_id"": null,
  ""child_event_index"": null,
  ""related_source_message_id"": null,
  ""supersedes_event_id"": null,
  ""cancels_event_id"": null,
  ""auto_apply_eligible"": true,
  ""needs_review"": false,
  ""validation_errors"": [],
  ""validation_warnings"": []
}",2
