cid,name,type,notnull,dflt_value,pk,table
0,id,INTEGER,0,,1,human_reviews
1,source_message_id,TEXT,1,,0,human_reviews
2,prediction_id,INTEGER,1,,0,human_reviews
3,reviewer,TEXT,0,,0,human_reviews
4,decision,TEXT,1,,0,human_reviews
5,original_prediction_json,TEXT,1,,0,human_reviews
6,corrected_event_json,TEXT,0,,0,human_reviews
7,changed_fields_json,TEXT,0,,0,human_reviews
8,review_notes,TEXT,0,,0,human_reviews
9,reviewed_at,TEXT,1,,0,human_reviews
0,id,INTEGER,0,,1,incoming_messages
1,source_message_id,TEXT,1,,0,incoming_messages
2,raw_text,TEXT,1,,0,incoming_messages
3,normalized_text,TEXT,0,,0,incoming_messages
4,segment_name,TEXT,0,,0,incoming_messages
5,created_at,TEXT,1,,0,incoming_messages
6,received_at,TEXT,1,,0,incoming_messages
7,processing_status,TEXT,1,,0,incoming_messages
8,text_hash,TEXT,0,,0,incoming_messages
0,id,INTEGER,0,,1,manual_review_queue
1,source_message_id,TEXT,0,,0,manual_review_queue
2,raw_text,TEXT,0,,0,manual_review_queue
3,parsed_event_json,TEXT,0,,0,manual_review_queue
4,review_reason,TEXT,0,,0,manual_review_queue
5,review_status,TEXT,1,'PENDING',0,manual_review_queue
6,created_at,TEXT,0,,0,manual_review_queue
7,resolved_at,TEXT,0,,0,manual_review_queue
8,resolution_notes,TEXT,0,,0,manual_review_queue
0,id,INTEGER,0,,1,parser_predictions
1,source_message_id,TEXT,1,,0,parser_predictions
2,parser_version,TEXT,1,,0,parser_predictions
3,model_version,TEXT,1,,0,parser_predictions
4,prediction_json,TEXT,1,,0,parser_predictions
5,ml_action,TEXT,0,,0,parser_predictions
6,ml_confidence,REAL,0,,0,parser_predictions
7,rule_action,TEXT,0,,0,parser_predictions
8,final_action,TEXT,0,,0,parser_predictions
9,symbol,TEXT,0,,0,parser_predictions
10,quantity_percent,TEXT,0,,0,parser_predictions
11,validation_status,TEXT,0,,0,parser_predictions
12,created_at,TEXT,1,,0,parser_predictions
0,id,INTEGER,0,,1,position_snapshots
1,trade_event_id,INTEGER,0,,0,position_snapshots
2,processing_order,INTEGER,0,,0,position_snapshots
3,portfolio_id,TEXT,0,,0,position_snapshots
4,positions_json,TEXT,0,,0,position_snapshots
5,created_at,TEXT,0,,0,position_snapshots
0,id,INTEGER,0,,1,positions
1,portfolio_id,TEXT,1,'default',0,positions
2,market_group,TEXT,0,,0,positions
3,symbol,TEXT,1,,0,positions
4,contract_month,TEXT,0,,0,positions
5,option_type,TEXT,0,,0,positions
6,strike_price,TEXT,0,,0,positions
7,direction,TEXT,0,,0,positions
8,current_allocation_pct,TEXT,1,'0',0,positions
9,average_entry_price,TEXT,0,,0,positions
10,stop_loss,TEXT,0,,0,positions
